id,bairro_group,bairro,latitude,longitude,room_type,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
26717696,1,29,40.76663,-73.96171,1,4,4,0.35,1,2
26721080,2,33,40.7073,-73.92776,2,1,8,0.73,1,1
26728369,2,23,40.67118,-73.99061,2,4,14,1.16,1,0
26734461,2,23,40.67834,-73.99761,2,2,21,2.1,2,73
26735127,2,1,40.68574,-73.95492,2,2,28,2.3,1,334
26735765,2,28,40.65828,-73.98983,2,2,7,0.58,1,0
26743587,2,11,40.6417,-73.96554,1,4,18,1.57,1,52
26744053,5,23,40.86659,-73.866,2,2,0,0.0,1,0
26744721,1,32,40.73611,-74.00922,1,3,26,2.14,1,67
26748374,2,23,40.64282,-73.98779,1,2,2,0.19,1,0
26748389,2,23,40.67995,-73.99665,1,2,7,0.59,2,19
26749932,2,33,40.70761,-73.95337,2,2,8,0.68,1,86
26750369,2,25,40.67762,-73.96539,2,2,4,0.37,1,0
26750461,4,23,40.73758,-73.92821,3,2,1,0.09,1,0
26750638,1,16,40.80045,-73.95166,2,1,13,1.13,2,351
26753414,2,33,40.71256,-73.95121,2,4,11,0.99,1,5
26754406,1,23,40.74849,-73.97873,1,3,28,2.43,1,43
26754694,4,23,40.69883,-73.85142,2,2,8,0.81,3,50
26755667,2,2,40.69327,-73.91599,2,1,3,0.25,2,250
26766865,5,23,40.8612,-73.91065,1,1,6,0.53,1,191
26768387,2,2,40.68904,-73.92037,2,3,16,1.4,1,139
26769087,1,30,40.77782,-73.98762,2,1,4,0.38,1,0
26770045,2,33,40.71433,-73.95679,1,7,3,0.43,1,230
26770455,1,21,40.76448,-73.97907,2,1,1,0.09,1,90
26773228,4,23,40.77329,-73.91183,1,3,3,0.25,1,41
26774025,1,9,40.72493,-73.97571,2,2,26,2.23,1,118
26774653,2,5,40.68453,-73.96773,1,5,2,0.19,1,13
26775656,2,2,40.69808,-73.92417,2,1,17,1.63,1,106
26777561,1,30,40.7862,-73.98089,1,3,6,0.57,1,0
26778845,2,33,40.71085,-73.96136,2,4,10,0.87,1,5
26779327,2,1,40.67723,-73.91618,2,1,15,1.81,2,13
26779818,1,32,40.7383,-74.00131,1,2,9,0.76,1,0
26780175,2,28,40.66236,-73.99109,1,2,4,0.42,1,0
26780625,2,23,40.6451,-73.97064,2,3,19,1.61,1,85
26780658,1,15,40.72704,-73.99672,1,2,9,0.82,3,0
26780660,2,33,40.71308,-73.94458,1,9,5,0.42,1,59
26781602,1,9,40.72541,-73.98398,1,2,6,2.12,1,5
26782911,2,6,40.67435,-73.95087,1,2,7,0.59,1,7
26783354,2,2,40.70145,-73.92,1,2,10,0.83,1,3
26784985,2,23,40.67856,-74.01584,1,3,17,1.42,1,6
26785111,2,33,40.70918,-73.96135,2,5,1,0.12,1,249
26786123,2,2,40.69433,-73.90649,2,3,5,0.43,1,0
26788437,1,9,40.72785,-73.98684,2,2,19,1.58,2,32
26788852,1,16,40.8274,-73.95215,1,2,14,1.21,1,293
26788956,4,23,40.67784,-73.77299,1,1,7,0.6,1,0
26794087,2,23,40.68401,-73.89462,2,4,5,1.5,1,0
26802868,5,23,40.82823,-73.90114,2,2,0,0.0,1,0
26803556,2,6,40.67726,-73.94618,1,7,11,1.04,2,219
26803876,2,26,40.65501,-73.95948,1,3,2,0.32,3,0
26805133,1,3,40.74137,-73.9994,2,3,8,0.69,1,125
26805201,2,2,40.70136,-73.9269,2,6,6,0.5,3,11
26805522,2,33,40.71107,-73.94665,1,2,20,1.83,1,0
26805568,1,21,40.74952,-73.9713,1,5,11,0.91,1,0
26805586,4,23,40.60644,-73.76089,2,2,0,0.0,1,169
26806179,2,23,40.57636,-73.95964,3,3,9,0.78,1,85
26807636,1,9,40.72573,-73.98377,2,7,17,1.63,1,227
26807942,1,9,40.7272,-73.98186,2,9,4,0.65,1,0
26809805,1,18,40.74068,-73.98227,1,1,5,0.46,1,23
26810466,1,21,40.76085,-73.96627,1,2,2,0.17,1,4
26810573,4,23,40.75479,-73.81916,3,1,0,0.0,2,89
26811066,1,30,40.77237,-73.98063,2,2,0,0.0,1,89
26811414,2,23,40.65251,-73.97598,1,3,3,0.26,1,69
26812324,1,23,40.73945,-73.98543,1,2,12,1.07,1,5
26812606,1,3,40.74285,-73.99395,1,2,22,1.94,1,0
26814362,2,28,40.64538,-74.01624,1,7,2,0.71,1,0
26814599,1,16,40.81747,-73.95249,2,3,10,0.85,1,0
26814763,4,19,40.74565,-73.94699,2,2,13,1.74,1,333
26816742,1,29,40.76639,-73.95817,3,3,2,2.0,2,142
26816883,4,23,40.73965,-73.86796,1,1,23,2.0,2,144
26817803,2,6,40.67252,-73.93918,1,2,26,2.21,2,267
26819776,2,23,40.69608,-73.98384,2,1,26,2.27,1,131
26828964,4,23,40.71214,-73.81661,1,3,0,0.0,3,15
26832236,1,29,40.77096,-73.95672,1,5,2,0.19,1,0
26834353,2,1,40.69056,-73.9598,2,5,1,0.09,1,0
26836650,2,5,40.69042,-73.96046,2,6,6,0.52,1,1
26837124,2,33,40.71612,-73.94468,1,6,1,0.09,1,0
26837834,1,16,40.80527,-73.95106,2,4,20,1.82,3,283
